game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0189,1,09:17,NYK,,MIL,,M. Bridges,NYK,MISS Bridges 1' Running Dunk,Missed Shot,Running Dunk Shot,11,5,1,1,2.0,0.0,h
S2425-G0189,1,09:01,NYK,10.0,MIL,5.0,M. Bridges,NYK,Bridges 3' Turnaround Fadeaway (2 PTS) (Towns 1 AST),Made Shot,Turnaround Fadeaway shot,29,17,3,1,2.0,2.0,h
S2425-G0189,1,07:50,NYK,,MIL,,M. Bridges,NYK,Bridges BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0189,1,06:52,NYK,,MIL,,M. Bridges,NYK,Bridges S.FOUL (P1.T3) (T.Maddox),Foul,Shooting,0,0,0,0,,,h
S2425-G0189,1,03:44,NYK,,MIL,,M. Bridges,NYK,Bridges REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0189,1,03:24,NYK,,MIL,,M. Bridges,NYK,MISS Bridges 3PT Jump Shot,Missed Shot,Jump Shot,-229,8,0,1,3.0,0.0,h
S2425-G0189,1,02:46,NYK,,MIL,,M. Bridges,NYK,Bridges REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0189,1,02:38,NYK,27.0,MIL,16.0,M. Bridges,NYK,Bridges 6' Driving Floating Jump Shot (4 PTS),Made Shot,Driving Floating Jump Shot,-55,11,6,1,2.0,2.0,h
S2425-G0189,1,00:41.700000,NYK,,MIL,,M. Bridges,NYK,MISS Bridges 25' 3PT Jump Shot,Missed Shot,Jump Shot,-216,127,25,1,3.0,0.0,h
S2425-G0189,2,07:16,NYK,,MIL,,M. Bridges,NYK,MISS Bridges 26' 3PT Jump Shot,Missed Shot,Jump Shot,-34,256,26,1,3.0,0.0,h
S2425-G0189,2,06:37,NYK,,MIL,,M. Bridges,NYK,SUB: Hart FOR Bridges,Substitution,,0,0,0,0,,,h
S2425-G0189,2,00:00,NYK,,MIL,,M. Bridges,NYK,MISS Bridges 44' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-109,428,44,1,3.0,0.0,h
S2425-G0189,3,11:47,NYK,,MIL,,M. Bridges,NYK,MISS Bridges 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-110,221,25,1,3.0,0.0,h
S2425-G0189,3,08:24,NYK,75.0,MIL,57.0,M. Bridges,NYK,Bridges 3PT Jump Shot (7 PTS) (Anunoby 2 AST),Made Shot,Jump Shot,225,-5,0,1,3.0,3.0,h
S2425-G0189,3,07:47,NYK,,MIL,,M. Bridges,NYK,Bridges REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0189,3,07:16,NYK,,MIL,,M. Bridges,NYK,MISS Bridges 9' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-65,67,9,1,2.0,0.0,h
S2425-G0189,3,05:03,NYK,82.0,MIL,63.0,M. Bridges,NYK,Bridges 3PT Jump Shot (10 PTS) (Hart 6 AST),Made Shot,Jump Shot,229,5,0,1,3.0,3.0,h
S2425-G0189,3,03:32,NYK,,MIL,,M. Bridges,NYK,MISS Bridges 8' Pullup Jump Shot,Missed Shot,Pullup Jump shot,18,82,8,1,2.0,0.0,h
S2425-G0189,3,03:29,NYK,,MIL,,M. Bridges,NYK,MISS Bridges 25' 3PT Jump Shot,Missed Shot,Jump Shot,107,222,25,1,3.0,0.0,h
